,rating,review,SentimantValue,predectedValue
22,5,“جديدة ونظيفه وقريبه من كل المجمعات”. ثاني مرة اسكن مريحه ونظيفه والاثاث جديد والمطبخ متكامل وموقعها قريب من مجمع الراشد والظهران مول واحب اشكر الاخ المحترم عبدالعظيم في الاستقبال وحسن الضيافه. ,1,1
23,4,جيد. سعر الفندق وموقعه ويعتبر نوعا ما نظيف وواسع. ,1,1
24,5,“زيارة مميزة”. طاقم العمل كان قمة الاحترافية والاخلاق العالية وذلك يتمثل في الاخ المصري عبدالعظيم وزملاءه .. شكراً لكم. ,1,1
25,2,“جميل”. لا شيء. كل شيء,1,1
26,4,“ممتاز”. الموقع جيد جدا..الغرفة واسعه ونظيفة ..السعر ممتاز جدا مقابل الخدمات الموجودة. عدم وجود حماية لنوافذ الغرفة بالرغم من أنها منخفضة ويستطيع الأطفال فتحها,1,1
27,2,“نصيحه لا تسكن الا بعد معالجة المشكله”. لا شي. شقه غرفه وصاله  ضيقه جدا روائح الحمام  تخنق في الشقه غازات سامه وانتم بكرامه تحتاج كمام  لكي تستطيع ان تسكن في هذه الشقهالمواقف لا تكفي,0,0
28,1,“عباده”. . مستوى الخدمه سيئ جدا لا يليق بمكانة فندق مقابل القيمه المدفوعه,0,0
29,2,“مكان لا يحترمك لاتسكن فيه”. الغرفة غير مهيئة لسريريين والحمام غير مهيئة للسباحة .. صغير جدا وتم زيادة الدش عليه ومنطقة البناء تبين ذلك. اجراءات الفندق لا تحترم المعتمر ولا تحترم وقت المسافر .. تم الغاء حجزي في رمضان بعد وصولي في الساعة الثالثة فجرا وطيارتي وصولها لمطار جده في الساعه الواحده فجرا .. وتبين سبب الالغاء انني لم احضر ما بين الساعه 3 و 9 مساء .. مع العلم ان الحجز قبل شهر من تاريخ الوصول .,0,0
30,1,“??‏”. لا يوجد اي شي يعجبني بالفندق. سي جدا لقد وصلت الساعة العاشرة مساء ووحدت حجزي مغلي بدون اي سبب ولم استطع الحصول على الغرفة الا بعد الاتصال على بوكنق بهولندا الذي خاطب الفندق ورجع لي الحجز والغرفة التي تم تسكين غيري فيها بحجة وصولي بعد الساعة التاسعة واللغاء حجزي,0,0
31,1,“الموقع غير مريح والخدمات غير مرضيه ولايوجد مواصلات”. معاملة موضفين الاستقبال زغت وغير حضاريه. لم يتعاملون مع الزبون بلطف وبادب,0,0
32,4,“جميله الى حد ماا”. الاستقبال جدا جميل وكلمة الشكر لا توفيهم خدمة توصيل العربات الصغيره لكبار السن و ذوي الاجتياجات الخاصه. التكييف لم يكون بارد جدا بوفيه الطعام كان براد نوعا ماا تنوع اصناف الطعام بعض المشروبات مكبوبه على الارض,1,1
33,1,“نصيحة لا تحجز في هذا الفندق”. لاشيء. طاقم استقبال سيئ جدا خدمات سيئة غرف ضيقة لا يوجد مواقف للنزلاء و سيارة الفندق غير موجودة دائما مستوى النظافة ضعيف و البوفيه كذلك المياة مقطوعة في بعض الغرف لا أنصح به أبدا,0,0
34,2,مخيب للأمل. . ريحته مكان البوفية خايسه و الاكل سئي جدا,0,0
35,1,“اسواء رحلة قمت بها”. زفت وصخ قذرات والسكن زفت. كل الفندق مو فندق زباله احذفه من البوكنق لا تغش المسلمين,0,0
36,2,مخيب للأمل. القرب من الحرم حوالي 400 الى 500 متر وليس كما هو مكتوب ... عدم وجود مواقف وهذا امر اراه ضروري جدا خاصة وان منطقة الحرم زحمة جدا جدا وكثيرة التحويلات واغلاق الطرق .كذلك لا يقبلون الدفع بالفيزا ولا حتى الشبكة العادية .. ويطبون الدفع كاااش .البوفيه سيء جداالفرف ضيقة جدا,0,0
37,5,“ممتاز وانصح بالاقامة”. رائع جدا اقمت فيه هذا الاسبوع الخدمات ممتازة. ,1,1
38,5,“اقامه ممتعه”. كل شي اعجبني والسيارة الي توصل للحرم اعجبتني. لا يوجد,1,1
39,1,“حراميه وكذابيين”. سي سي سي جداً جداًغير نظيف وسخ مكان مليء بالحشرات والامراض. كل شي في الفندق سيءالصور مختلفه كلياً عن الواقع,0,0
40,2,ضعيف. . عدم توفر مواقف,0,0
41,2,“تجربه مرره لن تتكرر”. لا شئ مريح سوي السرير مكان مرتفع يصعب الوصول اليه ... المكان واخطا الموظفين المتكرره وبطاقات الابواب كل شئ كان شئ جدا في الفندق لم يرحمهم سوي قدسية المكان.,0,0
42,5,ممتاز. ممتاز جدا الفندق. ,1,1
43,5,“كان رحله موفقه”. لذيذا وممتاز نعم مريح. لايوجد مواقف سيارات,1,1
44,2,“بعيد عن الحرم”. موظف الاستقبال كان استقباله ممتاز. الكان مرتفع وبعيد عن الحرم ولا يستطيع كبار السن السكن فيه,1,1
45,4,“اقامه جيده لمن يرغب في العمره”. الافطار جيد. والسرير جيد. والفندق قريب من الحرم. عند الوصول الى الفندق تم اخباري بأنه لايوجد حجز عن طريق البوكنج وعليه تم اظافه رسوم جديده وزياده المبلغ الاجمالي للحجز. علما بانه تم إظهار وإبلاغهم عن الحجز والرقم ورساله التأكيد وتم دفع زياده عن المبلغ المحجوز عن طريق الموقع,1,1
46,4,جيد. . الغرف صغيرة,1,1
47,2,“اقامه متعبه داخل هذا الفندق”. قريب من الحرم الي حد ما. الفطار تعبان جدا و كان سي قريب من الحرم ولكن علي جبل صعب الووصل اليه بالقدم وسائل المواصلات رديئة لا يوجد نت لا بالغرفة ولا بالاستقبالالسرير رائحته كريهه,0,0
48,1,“سئ جدا جدا”. لا شئ يعجب. كل الفندق سئ من الاستقبال إلى آخر شئ رآحه سيئه في الممرات استقبال سئ ماهي حسب الاسم,0,0
49,2,ضعيف. . عدم توفر الخدمات الموجودة على الموقع والتي تعتبر من مقومات النزول في الفنادق مثل خدمه الانترنت والمشروبات الساخنه والثلاجة معطله وعدم وجود خدمه غرف على مدار الساعه,0,0
50,2,ضعيف. . المكان سىء و الخدمة سيئة و الطعام ردىء سواء من جهة الكيف او التنوع,0,0
51,1,“ليس حسب المتوقع”. . الغرف غيرالموجود في الصور وايضا هنالك درج طويل ومتعب لم يتم اخبارنا بهوايضا العفش قديم ومستهلك,0,0
52,1,“لايوجد تقييم صفر”. لم يعجبني شي وانا مستاء جدا من ادراة الموقع. فندق سيء جدا وادارة بوكننغ مسولة نوعا ما عما حصل يتم حجز الغرفه عدة مرات وانت فيها لايوجد واي فايلايمكن الدفع بواسطة كريدت كارت لانهم لايملكون جهاز تحصيل,0,0
53,1,“الفندق غير جيد”. . اول شي قيمه الغرفه غالية مره الغرفه صغيره مره البوفيه أتمنى عدم ذكر انه في وجبه افطار مجانا عشان الله يديم النعمه لي اعرف عن البوفيه انواع الاكل مو بيض مسلوق وفول الموقع بالموت عرفته حتى قوقل يحدد مكان مو اهوه وبعدين غرفه مطله اخر شي تطل على زباله انتو بكرامه,0,0
54,1,"ضعيف جداً. . الموظف كان جداً فض في معاملته،  صاحب الجنسية السودانية. الموظفين السعوديين كانت معاملتهم لا بأس بها، وودودين",0,0
55,1,“بدر من الدرعية”. اعجبتني نظافة الفندق بكل صراحة وسعرة ممتاز بالنسبة لموقعه والفنادق الي حوله. عوازل الصوت سية جدا جدا جداسواليف الغرفة اللي جنبنا كلها واصلتنا يعني تجي وتنام خل سواليفك بالحرم هههه,1,1
56,2,ضعيف. القرب من الحرم. لم يتم تحديد الموقع بدقة مما ادى الى التأخير فى الوصول الى الفندقالغرف ضيقة جدا جدا,0,0
57,1,ضعيف جداً. موقع معقول. خدمة رديئة و موظفون متكاسلين ? يقدمون اى خدمه للزوار.,0,0
58,2,“لا بأس”. فندق قريب من المسجد ??دقائق مشيا على الأقدام حتى الساحه الخارجية للحرم -قربه من الخدمات تموينات ومغسلة الملابس ومراكز التسوق يوفر خدمه نقل ذهباً فقط للحرم لذوي الاحتياجات الخاصه الفطور لابأس به. صغر حجم الغرفه -فرش السرير ممزق و لم يكن نظيفاً وله رائحه مزعجه  -التكيف فيه صوت مزعج بعض الشى-لايوجد خدمة تنظيف الغرف-التلفاز لاتوجد به اشاره-يوجدصعوبه الرجوع للفندق بحكم انه على قمة تل-,1,1
59,1,“تقييم فند ق أجياد كروم والخدمة المقدمة”. القرب من الحرم. عدم الرد على الهاتف للطلب خدمة الغرف ضيق  مساحة الغرفة  وجبت الافطار عدم توفر المواقف,0,0
60,2,“جيد جدا”. القرب من الحرم...نظافة المكان....الراحة في الفندق. عدم توافر خدمات.كتقديم وجبات وعدم وجود مكان لغسل الملابس...وعدم وجود عربات لتوصيل المحرمين الي الحرم في اي وقت,1,1
61,1,“تجربة سيئة بكل المقاييس”. لا شيء أبدًا !. قريب من الحرم لكن عسر الذهاب على كبار السن !سيارة القولف حاطينها صورة ما تنقل أحدما عندهم مواقف رغم انها مكتوبة في الموقع ! ( يوهقونك )تعامل الاستقبال المصريين زفت ..,0,0
62,1,“جيد ما عدا الدرج”. النظافة. موقع الفندق فوق جبل ولا يصلح للي معه كبار سن او اوزان ثقيله ولا يوجد مواقف سيارات لكن الاسوأ الطلعة او الدرج المتعب الى الفندق من الحرم .. والغرف صغيرة اي للنوم فقط ليس بالامكان الجلوس في الغرفه الا على السرير,1,1
63,2,“اسوء فندق ..بانتظار التطوير”. لم يعجبني شي واضطررت لالغاء الحجز بعد  اول يوم. النت لايوجد في الغرفة .. وخدمة الاستقبال يوجد بها عامل النظافة .. ومرتفع جدا ولايوجد وسيلة تنقل للحرم,0,0
64,2,ضعيف. لاشيء. لاشيء جميل لاشيء جديدخدمات سيئة,0,0
65,2,“فندق اجياد كرووم..سيء جدا ...ولا انصح به نهائيا”. الفندق مكانه سيء جدا جداوالطريق منه واليه صعبة جدا على الاسرة والأطفال .مكانة فوق جبل لايوجد خدمات. الغرف المعروض على موقع booking.com غير مطابقة للواقع.ومساحة الغرف صغيرة ومقرفة. لم نستطع النوم.. مكان الفندق سيء جدا.خدم معدومة.لا يوجد مواقف للفندق نهائيا.يجب ان تذهب الى الجمرات للركن سيارتك.لايوجد طريق سلسة او معقولة من الحرم والى الفندق,0,0
66,1,"“إقامة سيئة جدا”. . ما في خدمة غرف ، أبسط مقومات الفنادق مب موجودة ،مافي مطعم للفندق مع انه كان مذكور انه فيه بوفيه للفندق ، ما فيه ماء نضطر نطلع من الفندق علشان نروح للبقالة ونجيبه ، مستحيل يرد الاستقبال عليك ، ببساطة كأنك في ارخص الفنادق مضمون .",0,0
67,2,“ضعيف”. لم يعجبني شي. لا توجد خدمه للغرف ابدا ... لا يوجد واى فاي فالغرف .. موقعه اعلى تله ...,0,0
68,2,مخيب للأمل. . الغرف ضيقة  جدا  صعوبة الوصول الي الحرم لوجود الفندق على طلعة نحتاج لجهد كبير في النزول والصعود؛ الفطور شئ روتيني,0,0
69,2,“موقع جيد وخدمة سيئه جدا”. مساحة الغرفة إلى حد ما. لا توجد خدمة مطلقا الإفطار سيء جدا لايوجد إدارة جيدة للفندق,0,0
70,2,“فندق جميل بشكل عام والطعام لذيذ”. الفندق جميل واهم ما يمزه المطعم الاكل لذيذ لذيذ لذيذ الافطار والعشاء شكراً جزيلاً للشيف استمتعنا بالطعام كثيراً. الغرفه ضيقه جداً والوصول للحرم مشي على الأقدام صعب لوجود درج طويل ومتعب جداً غير مناسب لكبار السن والمرضى نرجو توضيح هذه الملاحظه لأهميتها للناس قبل الحجز,1,1
71,1,جيد. الموقع جميل وقريب للحرم ولاكن مرتفع يتطلب جهد للوصول والذهاب للحرم. لا يوجد مواصلات للفندق خاصة كبار السن شاق جدا جدا,1,1
72,2,“أنصح جميع الأخوة بعدم السكن فيه”. لا شئ أبدا أبدا أبدا أبدا أبدا أبدا أبدا. ?- الشارع المؤدي له مغلق?- يقع على ارتفاع يحتاج رياضيين للصعود إليه ثم هو أيضاً على درج وطلعة صعبة جداً غير الطلعة الأولى في أول الشارع?- لا يوجد لديهم شبكة صراف ألي?- استقبال بكل قلة أدب ووقاحه ومحاولة النصب والدجل?- لايوجد إضاءات بالغرفة فقط نواصه صغيرة?- لا يوجد عمال نظافة ولا عمال لحمل العفش إلا بعد ساعتين على الأقل كذالك لايرد الاستقبال على الاتصال حتى من داخل الغرفة لكي تطلب فلا يجيب إلا أن تنزل لهم?- ليس لديه عربة خدمة للسكان وذوي الاحتياجات الخاصة وكبار السن لتنقلهم من طلعة الفندق المرتفعة إلى الحرم كما في الفنادق الملاصقة له?- أسعاره مبالغ فيها جداً مقارنة بمن هم أفضل منه خدمة ومجاورين له والفرق كبير وخدمات الفنادق المجاورة له أفضل?- أفراد الاستقبال بينهم مشاكل ومخانقات تشغلهم عن خدمة المستأجرين??- والله على ما أقول شهيد ووالله إني صادق وكان ذلك في العشر الأواخر من رمضان 1435,0,0
73,2,جيد جداً. القرب من المسجد الحرام. ,1,1
74,1,"جيد. اعجبني تعامل الموضفين ويحاولون انهم يساعدون الشخص بأي طريقه وما قصرو ويانا بشئ .. جزاهم الله خير. موقع الفندق منتاز وقريب جدا بس المشكله انه فوق جبل تقريبا ونزله الفندق وصعدته تهلك،، شي مرره صعب لان الفندق فوووووووق وانا اقترح انهم يجيبون سياره صغيره لنقل الناس من والى الفندق من الشارع العمومي ..",1,1
75,2,جيد. . المكان مرتفع على جبل,1,1
76,2,ضعيف. . الطريق من و إلى الحرم متعبه جدا جدا و فيها صعوبة كبيرة على كبار السن و المقعدين,0,0
77,1,ضعيف. لا شيء. موقع الفندق على جبل متعب للغايه الطلوع والنزول منه .. الغرف ضيقه جدا وطاقم الفندق غير متعاون على الإطلاق .. بوفيه افطار رمضان دون المستوى .,0,0
78,2,ضعيف. لاشي. فندق سيء جدا جدا الغريب انه فندق اربع نجوم مايستاهل ولانجمه وسعره غالي جدا مقابل غرف ضيقه جدا وغيرنظيفه عمال الاستقبال لامبالاة الفطور حقهم رز برياني خانس لايوجد مواقف سيارات لالالالاتتوفر خدمة واي فاي بالفندق تجربتي فيه خيبة امل,0,0
79,2,"مخيب للأمل. عادي جداً. الغرفة كلها غبار ، خدمة الغرف سيئة ، الغرفة ماحطوا فيها شاهي ولاسكر ولا مناديلنظم الدفع بالفيزا معطل فقط كاشبإختصار (( مبنى وغرف فندقية بس بخدمة شقق مفروشة ))",0,0
80,2,مخيب للأمل. . الفندق ريحته كريهة  و لازم تمر من درج ضيق و وسخ حتى توصل الحرم,0,0
81,2,مخيب للأمل. . المسافه من الحرم فالطريق درج متعب جدا جدا جدا,0,0
82,1,جيد جداً. قريب من الحرم لكن لا أنصح به لكبار السن لأنه مرتفع ويوجد درج طويل ينزل على الحرم مباشرة. تعامل الاستقبال,1,1
83,4,جيد جداً. اعجبني حسن وحفاوه الموظف في الاستقبال فقد كان لطيفا جدا ومهتم بنا ويسأل ان احتجنا شيئا..وايضا نظافه الفندق. لم يعجبني الموقع فقط فهو مرتفع ومعنا امراه مريضه ولاتستطيع صعود الدرج ولمريوفر الفندق سيااره لنقل المرضى وذوي الاحتياجات الخاصة,1,1
84,2,ضعيف جداً. الموقع. سيئ جداً جداً جداً لاخدمات ولا تعامل ولا يستحق اي نجمة,0,0
85,2,“ما انصح فيه”. الفندق قذر بما تعنية الكلمة حساسية وقذارة وتراب وغبار وروائح كريهة والله على ما اقول شهيد. الفندق قذر بما تعنية الكلمة حساسية وقذارة وتراب وغبار وروائح كريهة والله على ما اقول شهيد,0,0
86,1,استثنائي. طاقم الاستقبال والعاملون بالإجمال خدومين لأبعد درجه وفي اي وقت وبيسر وسهوله وسرعه ومتعاونييييين جداً في التشيك ان حتى قبل الوقت المحددالافطار مجملاً رائع ولذيييذقرب الفندق من الحرم بالمجمل فندق تحس فيه بالاريحيه والهدوووء. لايوجد,1,1
87,2,“عنوان العفانة”. فندق وسخ ومصريين حرامية مارضيوا يرجعوا الفلوس بعد ان اكتشفنا ان الفندق معفن. كل شي وسخ زريحة الفندق معفنة والحمامات نجمة واحدة حرام فيه,0,0
88,2,ضعيف جداً. للأسف واقولها بصراحة  لم يعجبني شي إطلاقا. اولا مكتب الاستقبال لم يكن على المستوى المطلوب من حيث الخدمة ثانيا عدم نظافة الغرف والاثاث جدا مستهلك ووجود رايحة كريهة ثالثا عدم وجود صيانة لدورات المياه اعزكم الله رابعا الافطار مقبول نوعا ما خامسا السعر مرتفع عن المفروض مقابل الخدمات المقدمة,0,0
89,2,ضعيف. فقط الاستقبال قمة بالتعامل. مستوى النظافة سيءالعمالة غير مستجيبة أسعار المأكولات والمشروبات مبالغ فيه جداوسعر الغرفة غير متوافق مع الخدمات,0,0
90,2,“لن اكرر زيارتي له”. صراحه اجمل مافيه قربه من الحرم كذالك الفطور عندهم والسحور حلو. بصراحه حجزت على ان يكون فيه مواقف للسيارات وطلع ماعندهم مواقف كلمت الموظف قال رح وقفها في مواقف الحكومه تبعد تقريبا ? كيلو كذالك اثاث الغرفه قديم المكيف بارد مره,0,0
91,2,“في رمضان لا تروح له”. الموقع و السرير. الوبي و الخدمه و البوفية و الراحة,0,0
92,2,جيد. الفندق جيد يبعد تقريباً مسافه ??? متر عن ساحة المسجد الحرام البوفية مميز طاقم العمل مميز. لاشي,1,1
93,2,جيد. حسن الاستقبال والافطار جيدجدا. لا شيء,1,1
94,2,“لايستحق خمسة نجوم”. لم يعجبني شيء فكما اسلفت قديم ومتهالككذلك مبالغ في سعرة. قديم ومتهالك بالنسبة للسعر,0,0
95,1,استثنائي. اتمنى لكم التوفيق واشكر الاستقبال الرائع لنا. ,1,1
96,2,ضعيف جداً. . سيئ للغاية الفندق قديم والاثاث متهالك والاسعار مبالغ فيها جداً والنظافة سيئة ولن اعود لهذا الفندق مرة اخرى ,0,0
97,1,“جيدة”. نعم الإفطار ممتاز والسير مريح. خدمة الغرف فيها عجز شديد والغرف 24 ساعه لم تنظف,1,1
98,4,جيد جداً. وجبة الأفطار كانت لذيذة. عدم توفر مساحة كافية للمواقف,1,1
99,4,“شكرا لمكارم”. طاقم العمل و المطعم افطار جيد و كثرة المصاعد وقربه من الحرم. تجمع المياه في دورات المياه وانسداد التصريف في المغسلة رغم طلب الصيانة ولكن بدون جدوى المواقف قليلة جدا لا يسع اكثر من 10 سيارات,1,1
100,2,“اقامه جميله ومميزه شاكرين لكم حسن تعاملكم”. الافطار لذييييييذ جدددا وجميييل السرير مريح نوعا ما. 1- التكييف2 - الحمامات لايوجد لها تصريف ارضي واتمنى وضع تصريف ارضي لها,1,1
101,4,"ممتاز. الافطار كان جيد جدا ولكن يجب زيادة نوعية المخبوزات، كما كان موظف الاستقبال نايف في منتهى الرقي في التعامل. ",1,1
102,5,“جميلة ومريحة”. اجمل إقامة وأطلاله فندق جميل والأجمل موظفي الاستقبال فهم يستحقون  الشكر والتقدير  على حسن  الاستقبال  وبشاشة  الوجه والابتسامة في وجهه  العملا  فهم يستحقون الف شكر. ,1,1
103,5,"ضعيف. . تم استلام الغرفة الساعة السابعة والنصف مساء ،والتي لم أصلا جاهزة ،علما ان التسليم (check out ) هو الثانية عشرة ظهر اليوم التالي ،عند انتظار الغرفة لتجهز طُلب منا ان نذهب للحرم بدلا من تقديم الاعتذار مثلا ،الافطار لم يكن بمستوى الخمس نجوم المعلن عنها ،احساس بالغبن  و(التطفيف ) بجوار البيت الحرام  !!!!على شركة booking  ان تتاكد بنفسها عما يقدم لزبائنها  لانه في النهاية سنقول اننا حجزنا عن طريق ال booking  .كما اني أطالب باصلاح الضرر المادي والمعنوي الذي نجم عن أسوأ إقامة لي في اوتيل ?نجوم",0,0
104,2,“راضي عن الفندق”. الصراحه اعجبني تعامل طاقم الفندق والاحترام والترحيب الحار اشكر جميع طاقم الفندق خاصتا الشباب علئ الاستقبال فردا فردوأشكر مشرف الاستقبال محمد علئ حل مشكلتي بطريقه ايجابيه ومرضيه جدا وشكرا لإدارة الفندق. ,1,1
105,5,“مناسب جدا”. الاستقبال والترحيب جميل جدا جدا جدا. طلب الخدمات من صيانة او غطاء او لحاف لايتم توفيره بسرعة,1,1
106,4,“إقامة ممتعه”. الموقع قريب من الحرم... الغرف نظيفة ولونها حلو. الانترنت بطيء جدا ... لايوجد كواية للملابس ... مواقف السيارات ممتلئة دائما... خدمة الترولي للشنط بطيئه,1,1
107,4,“رائع”. جميل بكل المعاني والأوصاف تعامل راقي أخلاق طيبة الابتسامة في وجه النزيل كل هذا شاهدته واضح في جميع العاملين في الفندق من خدمة عملاء وعمال النظافة وغير ذلك. اللهم لك الحمد لم ألاحظ شيئ سيئ,1,1
108,5,“فندق مريح وممتاز”. اعجبت بموظف الاستقبال عبدالرحمن فلاته رجل بشوش وخدوم. النظافة,1,1
109,2,ممتاز. مطعم الفطار ممتاز وقربه من الحرم. الحمامات تحتاج اهتمام اكثر,1,1
110,4,“احلا اقامه”. اشكر الاخ ناصر الصوفي علـ? حسن التعامل. لا,1,1
111,5,“الفندق ذات طبيعه هادئه”. موقع قريب من الحرمالهدو والنظافة. لاتوجد ضيافه القهوه والتمر اسوه ببعض الفنادق ذات الخمس نجوم الثلاجه فاضيه تماما,1,1
112,5,“هدوء ونظافة وتعامل الموظفين جدا راقي”. الفندق اعجبني ممتاز هدوء ونظافة والبوفيه حلو ومتنوع وقربه من الحرم. سعره شوي غالي,1,1
113,4,“ممكن ان تكون افضل”. الموقع والافطار. النظافه وعدم توفر مواقف,1,1
114,4,جيد. قرب الموقع من الحرم. دوره المياة لا يوجد بها شفاط تهويه و ايضاء الماء على الارضيه بعد الاستحمام,1,1
115,2,“تعامل راقي وخدمه ممتازه ومطعم نظيف”. اعجبني قربه للحرم. المدخل الخاص بالكبار يفترض ان يكون في البوابه الفرعيه جهة شارع جياد لقربها من الشارع. وليس كماهو الوضع الان مع البوابه الرئيسيه سيارات ومرتفعه عن مستوى الشارع,1,1
116,4,“اقامه لاباس فيها لولا تسليمنا غرفه بدون اناره”. كبير نظيف مواقف للسيار. عطل في لمبات الغرفه 419,1,1
117,1,“جيد”. . النظافةالخدمات المطعم,1,1
118,5,“اقامة جيدة”. . البعد نسبيا عن الحرم المكي,1,1
119,2,“رائع”. رائع. لاشي,1,1
120,4,"“يستحق التجربة”. عمال النظافة وخدمة الغرف ، يتجاوزون جدا. ورغم الإشغال الكامل الفندق ،فإنه يتم ترتيب وتنظيف الغرف يوميا.. الفندق اجمالا يحتاج إعادة تجديد.وخاصة دورات المياه.",1,1
121,4,جيد جداً. الموقع ممتاز قريب من الحرم. ,1,1
122,5,“اقامة طيبة اود ان تتكرر إن شاء الله”. المصاعد لايوجد عليها ضغط او ازدحام في عمرة رمضان. ,1,1
123,4,“المستوى بصراحة جيد”. الموظفين السرعه. الإفطار السعر  الخدمات  الموقع,1,1
124,4,“المتعه”. القرب من الحرم والبساطه والسهوله في الطلوع ونزول. حجز غرفه ? شخص وهي بدخل?اشخص بي ? سرير لماذا,1,1
125,2,“تجربة قد تعاد”. تعامل الموظفين. ارضية الغرفة و دورة المياة,1,1
126,2,استثنائي. النظافة الهدو موقع الفندق قريب من الحرم موظفين الا ستقبال سامي ونايف مشاالله على اخلاقهم مقصرو شكرًا للجميع. ,1,1
127,4,“الله يتقبل عمرتنا”. ولا شيء ابدا. الطاقم سيء ومايرد على التلفونات تبي تسكن والا ماهي واقفه عليكلخبطه تحت عند الرسبشن هذا هنا وهذا معتمر متروك هنا وهذا بعفشه هنا الغرفة اثاثها قدييييم المكيف يطلع صوت مزعج المروش خربان الشبابيك ماتنفتح مدري هم قاصدين والا لا المقابض مخلوعهعند الفطور والسحور لخبطه واكل حليو مو مررره مايستااااهل ? نجوم ابد والله والسعر حرررام,0,0
128,5,“رائع”. الغرف واسعه ونظيفه الافطار كان ممتاز ومتنوع موقعه قريب من الحرم ولكن ذوي الاحتياجات الخاصه وكبار السن سيحتاجون مساعده وعربه للتنقلباختصار فندق  جيدجدا ويستحق الاشاده. لا شي,1,1
129,2,“اللهم اجعلها عمرة مقبوله”. موقع الفندق قريب نوعا ما من الحرم تقريبا ? دقائق مشي وسهولة الوصول اليه والخدمة ممتازة بالفندق وسريعه والمطعم مميز بالافطار والسحور. نوعا ما يحتاج الى نظافه اكثر و تاخير تسجيل الدخول والانتظار طويلا وبطاقة الدخول للغرفه تحتاج تحديث كثيرا كلما خرجت وعدت لاتفتح الغرفه واعود للاستقبال لتحديثها,1,1
130,4,"“فندق اجياد مكه”. الغرفه كان حجمها مقبول ، نظيفه جدا ، السحور مقبول. ليس بقريب جدا من الحرم",1,1
131,4,"ضعيف جداً. . الفندق سئ الإستقبال سئ التمكين من الغرفة بعد 4 سااعات والمطالبات الشديدة الغرفة في الدور الول جناح المدخنين على خلاف الرغبة ، الغرفة إزعاج متواصل .",0,0
132,4,“كانت عمرة في رمضان ميسرة والحمدلله والفندق ممتاز”. النظافه ممتازة والفندق حلوة والموظفين تعاملهم ممتاز ولاكل حلو وممتاز. مافي شي يعني يذكر الاكان الحمام البانيو شوي ماتتصرف المويه والدش خربان خفيف الماء في,1,1
133,2,“ادارة سيئه”. تعامل الاداره سئ. تعامل الاداره سئ  الموقع بعيد عن الحرم,0,0
134,1,“اقامه مريحه للنفس”. نظافة المكان الهدوء. لا يوجد,1,1
