,rating,review,SentimantValue,predectedValue
10,4,“ם׃ÊֽÞ ַבÚזֹֿ”. ַבדזÞÚ דדÊַׂ Ýם ַבÊזּו ַבַׁװֿ דזב זַבַׁװֿ ָבַַׂ  ז ַבÙוַׁה דזב ַÞב דה ־ד׃ ֿÞֶַÞ Êזּוß ַםײַ בּ׃ׁ ַבָֽׁםה ַז דה״Þֹ ַב׃זםßÊ ַז ßזׁהםװ ַב־ָׁ דהַ׃ָו דַÚהֿß ַבַ ַװַׁו זַֽֿו זהׂב בב״ׁםÞ ַב׃ׁםÚַבהÙַÝֹ  דדÊַׂו ßזהוַ װÞÞ ּֿםֿו הÊדהל ַבדַֽÝÙו Úבל ו׀ ַבד׃Êזל דזÙÝ ַבַ׃ÊÞַָב Úָֿ ַבÚÙםד ßַה ÊÚַדבו ׃ׁםÚ ַּֿ בֱַַַּׁÊ ַבֿ־זב ם׃ÊֽÞ ַבÚזֿו בו ַ׀ַ ַ׃Êדׁ Ýם ַבדַֽÝÙו Úבל הÙַÝֹ ַבװÞÞ זַבַַֻֻ. ײםÞ ַבדזַÞÝ ַָבה׃ָו בב׃םַַׁÊ ַבÚֶַבםו ַבßָםׁו,1,1
11,1,“ױÝׁ”. ׃םֶו ַּֿ. בַ װם,0,0
12,5,“ׁזÚו”. Þדֹ ַבַֽׁו זַװßׁ ױַָֽ ַבÝהֿÞ Ú ַבד׃ַֿו זַב־ֿדַÊ. בַ װם,1,1
13,4,ּםֿ. . ֿזַׁÊ ַבדםַֹ Þֿםדֹ זÛםׁדהַ׃ָֹ בÊÞםםד,1,1
14,4,ּםֿ. ַבַ׃ÊÞַָב זַבדÚַדבֹ ßַהÊ דדÊַֹׂ .ַבַהÊׁהÊ ַּֿנ ׃ׁםÚ .ַבהÙַÝֹ. בַםזּֿ,1,1
15,4,ּםֿ. . ַבױזׁ בַ ÊÚß׃ ַבזַÞÚ,1,1
16,1,“ַֽ׀ׁז דה ו׀ו ַבװÞÞ ַבדÝׁזװו (ֳּזֱַ)”. בַ װםֱ. ־ֿדֹ ׃םֶו בֳָÚֿ ַבֽֿזַֿבÝׁװ ּֿםֿ בßהו ֿׁםֶ ֳַּּֿוֹׂ ַבÊßםםÝ ּֿםֿו בßהוַ ׃םֶו״ַÞד ַבÚדב Ýַװב זבַ ם׃Ê״םÚ ַה םÊױׁÝ ַ׀ַ זַּוÊß דװßבו Ýם ַבװÞו,0,0
17,1,ײÚםÝ ַּֿנ. . ֿזׁÊ ַבדםַו ׃םֶו זַבדֱַ ײÚםÝ ַּֿ  זׂÚַּ ױזÊ ַב״ֶַַׁÊ בÞָׁו דה ַבÞַÚֿו ַבּזםו,0,0
18,4,ּםֿ ַּֿנ. ַבהÙַÝו ַבדזÞÚ. Úֿד ַבֿ־זב ָבזÞÊ ַבדֽֿֿÞבו דזַÞÝ ַב׃םַַׁÊ,1,1
19,4,ּםֿ ַּֿנ. . בַםזּֿ ֿÝÚ װָßו ÝÞ״ ßַװ,1,1
20,4,“ַבהÙַÝֹ ז ַבדָהל ּֿםֿ”. Þׁםָ דה ַבדּדÚַÊ. בַÊזּֿ דזַÞÝ ßַÝםֹזַבÛׁÝ ױÛםֹׁ,1,1
21,5,ַ׃Êֻהֶַם. ֽ׃ה ַבַ׃ÊÞַָב זֽ׃ה ַבÊÚַדב. ,1,1
22,5,“ּֿםֹֿ זהÙםÝו זÞׁםָו דה ßב ַבדּדÚַÊ”. ַֻהם דֹׁ ַ׃ßה דׁםֽו זהÙםÝו זַבַַֻֻ ּֿםֿ זַבד״ָ־ דÊßַדב זדזÞÚוַ Þׁםָ דה דּדÚ ַבַׁװֿ זַבÙוַׁה דזב זַָֽ ַװßׁ ַבַ־ ַבדֽÊׁד ÚַָֿבÚÙםד Ýם ַבַ׃ÊÞַָב זֽ׃ה ַבײםַÝו. ,1,1
23,4,ּםֿ. ׃Úׁ ַבÝהֿÞ זדזÞÚו זםÚÊָׁ הזÚַ דַ הÙםÝ זזַ׃Ú. ,1,1
24,5,“ׂםַֹׁ דדםֹׂ”. ״ַÞד ַבÚדב ßַה Þדֹ ַבַֽÊַׁÝםֹ זַבַ־בַÞ ַבÚַבםֹ ז׀בß םÊדֻב Ýם ַבַ־ ַבדױׁם ÚַָֿבÚÙםד זׂדבֱַו .. װßַׁנ בßד. ,1,1
25,2,“ּדםב”. בַ װםֱ. ßב װםֱ,1,1
26,4,“דדÊַׂ”. ַבדזÞÚ ּםֿ ַּֿ..ַבÛׁÝֹ זַ׃Úו זהÙםÝֹ ..ַב׃Úׁ דדÊַׂ ַּֿ דÞַָב ַב־ֿדַÊ ַבדזּזֹֿ. Úֿד זּזֿ ֽדַםֹ בהזַÝ׀ ַבÛׁÝֹ ַָבׁÛד דה ֳהוַ דה־Ýײֹ זם׃Ê״םÚ ַבֳ״Ýַב ÝÊֽוַ,1,1
27,2,“הױםֽו בַ Ê׃ßה ַבַ ָÚֿ דÚַבֹּ ַבדװßבו”. בַ װם. װÞו ÛׁÝו זױַבו  ײםÞו ַּֿ ׁזֶַֽ ַבֽדַד  Ê־הÞ Ýם ַבװÞו ÛַַׂÊ ׃ַדו זַהÊד ָßַׁדו ÊֽÊַּ ßדַד  בßם Ê׃Ê״םÚ ַה Ê׃ßה Ýם ו׀ו ַבװÞוַבדזַÞÝ בַ ÊßÝם,0,0
28,1,“Úַָֿו”. . ד׃Êזל ַב־ֿדו ׃םֶ ַּֿ בַ םבםÞ ָדßַהֹ ÝהֿÞ דÞַָב ַבÞםדו ַבדֿÝזÚו,0,0
29,2,“דßַה בַ םֽÊׁדß בַÊ׃ßה Ýםו”. ַבÛׁÝֹ Ûםׁ דוםֶֹ ב׃ׁםׁםםה זַבֽדַד Ûםׁ דוםֶֹ בב׃ַָֹֽ .. ױÛםׁ ַּֿ זÊד ׂםַֹֿ ַבֿװ Úבםו זדה״Þֹ ַבָהֱַ Êָםה ׀בß. ֱַַַּׁÊ ַבÝהֿÞ בַ ÊֽÊׁד ַבדÚÊדׁ זבַ ÊֽÊׁד זÞÊ ַבד׃ַÝׁ .. Êד ַבÛֱַ ּֽׂם Ýם ׁדײַה ָÚֿ זױזבם Ýם ַב׃ַÚֹ ַבַֻבֹֻ Ýַּׁ ז״םַׁÊם זױזבוַ בד״ַׁ ּֿו Ýם ַב׃ַÚו ַבזַֽֿו Ýַּׁ .. זÊָםה ׃ָָ ַבַבÛֱַ ַההם בד ַֽײׁ דַ ָםה ַב׃ַÚו 3 ז 9 ד׃ֱַ .. דÚ ַבÚבד ַה ַבּֽׂ Þָב װוׁ דה Êַׁם־ ַבזױזב .,0,0
30,1,“??‏”. בַ םזּֿ ַם װם םÚָּהם ַָבÝהֿÞ. ׃ם ַּֿ בÞֿ זױבÊ ַב׃ַÚֹ ַבÚַװֹׁ ד׃ֱַ זזֽֿÊ ּֽׂם דÛבם ָֿזה ַם ׃ָָ זבד ַ׃Ê״Ú ַבֽױזב Úבל ַבÛׁÝֹ ַבַ ָÚֿ ַבַÊױַב Úבל ָזßהÞ ָוזבהַֿ ַב׀ם ־ַ״ָ ַבÝהֿÞ זּׁÚ בם ַבּֽׂ זַבÛׁÝֹ ַבÊם Êד Ê׃ßםה Ûםׁם Ýםוַ ָֹּֽ זױזבם ָÚֿ ַב׃ַÚֹ ַבÊַ׃Úֹ זַבבÛֱַ ּֽׂם,0,0
31,1,“ַבדזÞÚ Ûםׁ דׁםֽ זַב־ֿדַÊ Ûםׁ דׁײםו זבַםזּֿ דזַױבַÊ”. דÚַדבֹ דזײÝםה ַבַ׃ÊÞַָב ׂÛÊ זÛםׁ ֽײַׁםו. בד םÊÚַדבזה דÚ ַבָׂזה ָב״Ý זַָָֿ,0,0
32,4,“ּדםבו ַבל ֽֿ דַַ”. ַבַ׃ÊÞַָב ַּֿ ּדםב זßבדֹ ַבװßׁ בַ ÊזÝםוד ־ֿדֹ Êזױםב ַבÚַָׁÊ ַבױÛםׁו בßַָׁ ַב׃ה ז ׀זם ַבַּÊםַַּÊ ַב־ַױו. ַבÊßםםÝ בד םßזה ַָֿׁ ַּֿ ָזÝםו ַב״Úַד ßַה ַָֿׁ הזÚַ דַַ ÊהזÚ ַױהַÝ ַב״Úַד ָÚײ ַבדװׁזַָÊ דßָזָו Úבל ַבַׁײ,1,1
33,1,“הױםֹֽ בַ Êּֽׂ Ýם ו׀ַ ַבÝהֿÞ”. בַװםֱ. ״ַÞד ַ׃ÊÞַָב ׃םֶ ַּֿ ־ֿדַÊ ׃םֶֹ ÛׁÝ ײםÞֹ בַ םזּֿ דזַÞÝ בבהׂבֱַ ז ׃םַֹׁ ַבÝהֿÞ Ûםׁ דזּזֹֿ ֶַֿדַ ד׃Êזל ַבהÙַÝֹ ײÚםÝ ז ַבָזÝםו ß׀בß ַבדםַֹ דÞ״זÚֹ Ýם ָÚײ ַבÛׁÝ בַ ֳהױֽ ָו ֳַָֿ,0,0
34,2,ד־םָ בבֳדב. . ׁםֽÊו דßַה ַבָזÝםֹ ־ַם׃ו ז ַבַßב ׃ֶם ַּֿ,0,0
35,1,“ַ׃זֱַ ֽׁבֹ ÞדÊ ָוַ”. ׂÝÊ זױ־ Þ׀ַׁÊ זַב׃ßה ׂÝÊ. ßב ַבÝהֿÞ דז ÝהֿÞ ַָׂבו ַֽ׀Ýו דה ַבָזßהÞ בַ ÊÛװ ַבד׃בדםה,0,0
36,2,ד־םָ בבֳדב. ַבÞָׁ דה ַבֽׁד ֽזַבם 400 ַבל 500 דÊׁ זבם׃ ßדַ וז דßÊזָ ... Úֿד זּזֿ דזַÞÝ זו׀ַ ַדׁ ַַׁו ײׁזׁם ַּֿ ־ַױֹ זַה דה״Þֹ ַבֽׁד ֽׂדֹ ַּֿ ַּֿ זßֻםֹׁ ַבÊֽזםבַÊ זַÛבַÞ ַב״ׁÞ .ß׀בß בַ םÞָבזה ַבֿÝÚ ַָבÝםַׂ זבַ ֽÊל ַבװָßֹ ַבÚַֿםֹ .. זם״ָזה ַבֿÝÚ ßַַַװ .ַבָזÝםו ׃םֱ ַַּֿבÝׁÝ ײםÞֹ ַּֿ,0,0
37,5,“דדÊַׂ זַהױֽ ַָבַÞַדֹ”. ֶַׁÚ ַּֿ ַÞדÊ Ýםו ו׀ַ ַבַ׃ָזÚ ַב־ֿדַÊ דדÊַֹׂ. ,1,1
38,5,“ַÞַדו דדÊÚו”. ßב װם ַÚָּהם זַב׃םַֹׁ ַבם Êזױב בבֽׁד ַÚָּÊהם. בַ םזּֿ,1,1
39,1,“ַֽׁדםו זß׀ַָםםה”. ׃ם ׃ם ׃ם ַּֿנ ַּֿנÛםׁ הÙםÝ ז׃־ דßַה דבםֱ ַָבֽװַׁÊ זַבַדַׁײ. ßב װם Ýם ַבÝהֿÞ ׃םֱַבױזׁ ד־ÊבÝו ßבםַנ Úה ַבזַÞÚ,0,0
40,2,ײÚםÝ. . Úֿד ÊזÝׁ דזַÞÝ,0,0
41,2,“Êָּׁו דׁׁו בה ÊÊßׁׁ”. בַ װֶ דׁםֽ ׃זם ַב׃ׁםׁ דßַה דׁÊÝÚ םױÚָ ַבזױזב ַבםו ... ַבדßַה זַ־״ַ ַבדזÙÝםה ַבדÊßׁׁו זָ״ַÞַÊ ַבַָזַָ ßב װֶ ßַה װֶ ַּֿ Ýם ַבÝהֿÞ בד םֽׁדוד ׃זם Þֿ׃םֹ ַבדßַה.,0,0
42,5,דדÊַׂ. דדÊַׂ ַּֿ ַבÝהֿÞ. ,1,1
43,5,“ßַה ֽׁבו דזÝÞו”. ב׀ם׀ַ זדדÊַׂ הÚד דׁםֽ. בַםזּֿ דזַÞÝ ׃םַַׁÊ,1,1
44,2,“ָÚםֿ Úה ַבֽׁד”. דזÙÝ ַבַ׃ÊÞַָב ßַה ַ׃ÊÞַָבו דדÊַׂ. ַבßַה דׁÊÝÚ זָÚםֿ Úה ַבֽׁד זבַ ם׃Ê״םÚ ßַָׁ ַב׃ה ַב׃ßה Ýםו,1,1
45,4,“ַÞַדו ּםֿו בדה םׁÛָ Ýם ַבÚדׁו”. ַבַÝ״ַׁ ּםֿ. זַב׃ׁםׁ ּםֿ. זַבÝהֿÞ Þׁםָ דה ַבֽׁד. Úהֿ ַבזױזב ַבל ַבÝהֿÞ Êד ַ־ַָׁם ֳָהו בַםזּֿ ּֽׂ Úה ״ׁםÞ ַבָזßהּ זÚבםו Êד ַÙַÝו ׁ׃זד ּֿםֿו זׂםַֿו ַבדָבÛ ַבַּדַבם בבּֽׂ. Úבדַ ַָהו Êד ֵÙוַׁ זֵָבַÛוד Úה ַבּֽׂ זַבׁÞד זׁ׃ַבו ַבÊֳßםֿ זÊד ֿÝÚ ׂםַֿו Úה ַבדָבÛ ַבדּֽזׂ Úה ״ׁםÞ ַבדזÞÚ,1,1
46,4,ּםֿ. . ַבÛׁÝ ױÛםֹׁ,1,1
47,2,“ַÞַדו דÊÚָו ַֿ־ב ו׀ַ ַבÝהֿÞ”. Þׁםָ דה ַבֽׁד ַבם ֽֿ דַ. ַבÝ״ַׁ ÊÚַָה ַּֿ ז ßַה ׃ם Þׁםָ דה ַבֽׁד זבßה Úבם ָּב ױÚָ ַבזזױב ַבםו ַָבÞֿד ז׃ֶַב ַבדזַױבַÊ ֿׁםֶֹ בַ םזּֿ הÊ בַ ַָבÛׁÝֹ זבַ ַָבַ׃ÊÞַָבַב׃ׁםׁ ֶַֽׁÊו ßׁםוו,0,0
48,1,“׃ֶ ַּֿ ַּֿ”. בַ װֶ םÚָּ. ßב ַבÝהֿÞ ׃ֶ דה ַבַ׃ÊÞַָב ֵבל ֲ־ׁ װֶ ֲֽׁו ׃םֶו Ýם ַבדדַׁÊ ַ׃ÊÞַָב ׃ֶ דַום ֽ׃ָ ַבַ׃ד,0,0
49,2,ײÚםÝ. . Úֿד ÊזÝׁ ַב־ֿדַÊ ַבדזּזֹֿ Úבל ַבדזÞÚ זַבÊם ÊÚÊָׁ דה דÞזדַÊ ַבהׂזב Ýם ַבÝהַֿÞ דֻב ־ֿדו ַבַהÊׁהÊ זַבדװׁזַָÊ ַב׃ַ־הו זַבֻבַֹּ דÚ״בו זÚֿד זּזֿ ־ֿדו ÛׁÝ Úבל דַֿׁ ַב׃ַÚו,0,0
50,2,ײÚםÝ. . ַבדßַה ׃לֱ ז ַב־ֿדֹ ׃םֶֹ ז ַב״Úַד ֿׁלֱ ׃זֱַ דה ּוֹ ַבßםÝ ַז ַבÊהזÚ,0,0
51,1,“בם׃ ֽ׃ָ ַבדÊזÞÚ”. . ַבÛׁÝ Ûםַׁבדזּזֿ Ýם ַבױזׁ זַםײַ והַבß ּֿׁ ״זםב זדÊÚָ בד םÊד ַ־ַָׁהַ ָוזַםײַ ַבÚÝװ Þֿםד זד׃Êובß,0,0
52,1,“בַםזּֿ ÊÞםםד ױÝׁ”. בד םÚָּהם װם זַהַ ד׃Êֱַ ַּֿ דה ַַֹֿׁ ַבדזÞÚ. ÝהֿÞ ׃םֱ ַּֿ זַַֹֿׁ ָזßההÛ ד׃זבֹ הזÚַ דַ Úדַ ֽױב םÊד ּֽׂ ַבÛׁÝו Úֹֿ דַׁÊ זַהÊ Ýםוַ בַםזּֿ זַם Ýַםבַםדßה ַבֿÝÚ ָזַ׃״ֹ ßׁםֿÊ ßַׁÊ בַהוד בַםדבßזה ּוַׂ Êֽױםב,0,0
53,1,“ַבÝהֿÞ Ûםׁ ּםֿ”. . ַזב װם Þםדו ַבÛׁÝו Ûַבםֹ דׁו ַבÛׁÝו ױÛםׁו דׁו ַבָזÝםו ֳÊדהל Úֿד ׀ßׁ ַהו Ýם זָּו ַÝ״ַׁ דַּהַ Úװַה ַבבו םֿםד ַבהÚדו בם ַÚׁÝ Úה ַבָזÝםו ַהזַÚ ַבַßב דז ָםײ ד׃בזÞ זÝזב ַבדזÞÚ ַָבדזÊ ÚׁÝÊו ֽÊל ÞזÞב םֽֿֿ דßַה דז ַוזו זָÚֿםה ÛׁÝו ד״בו ַ־ׁ װם Ê״ב Úבל ַָׂבו ַהÊז ָßַׁדו,0,0
54,1,"ײÚםÝ ַּֿנ. . ַבדזÙÝ ßַה ַּֿנ Ýײ Ýם דÚַדבÊו¡  ױַָֽ ַבּה׃םֹ ַב׃זַֿהםֹ. ַבדזÙÝםה ַב׃Úזֿםםה ßַהÊ דÚַדבÊוד בַ ֳָ׃ ָוַ¡ זזֿזֿםה",0,0
55,1,“ָֿׁ דה ַבֿׁÚםֹ”. ַÚָּÊהם הÙַÝֹ ַבÝהֿÞ ָßב ױַֹֽׁ ז׃Úֹׁ דדÊַׂ ַָבה׃ָֹ בדזÞÚו זַבÝהַֿÞ ַבם ֽזבו. Úזַׂב ַבױזÊ ׃םֹ ַּֿ ַּֿ ַּֿ׃זַבםÝ ַבÛׁÝֹ ַבבם ּהָהַ ßבוַ זַױבÊהַ םÚהם Êּם זÊהַד ־ב ׃זַבםÝß ַָבֽׁד וווו,1,1
56,2,ײÚםÝ. ַבÞָׁ דה ַבֽׁד. בד םÊד Êֽֿםֿ ַבדזÞÚ ָֿÞֹ דדַ ַֿל ַבל ַבÊֳ־םׁ Ýל ַבזױזב ַבל ַבÝהֿÞַבÛׁÝ ײםÞֹ ַּֿ ַּֿ,0,0
57,1,ײÚםÝ ַּֿנ. דזÞÚ דÚÞזב. ־ֿדֹ ֿׁםֶֹ ז דזÙÝזה דÊßַ׃בםה ? םÞֿדזה ַל ־ֿדו בבׂזַׁ.,0,0
58,2,“בַ ֳָ׃”. ÝהֿÞ Þׁםָ דה ַבד׃ּֿ ??ֿÞֶַÞ דװםַ Úבל ַבֳÞַֿד ֽÊל ַב׃ַֽו ַב־ַּׁםֹ בבֽׁד -Þָׁו דה ַב־ֿדַÊ ÊדזםהַÊ זדÛ׃בֹ ַבדבַָ׃ זדַׁßׂ ַבÊ׃זÞ םזÝׁ ־ֿדו הÞב ׀וַָנ ÝÞ״ בבֽׁד ב׀זם ַבַֽÊםַַּÊ ַב־ַױו ַבÝ״זׁ בֳַָ׃ ָו. ױÛׁ ּֽד ַבÛׁÝו -Ýׁװ ַב׃ׁםׁ דדׂÞ ז בד םßה הÙםÝַנ זבו ֶַֽׁו דׂÚּו  -ַבÊßםÝ Ýםו ױזÊ דׂÚּ ָÚײ ַבװל-בַםזּֿ ־ֿדֹ ÊהÙםÝ ַבÛׁÝ-ַבÊבÝַׂ בַÊזּֿ ָו ַװַׁו-םזּֿױÚזָו ַבּׁזÚ בבÝהֿÞ ָֽßד ַהו Úבל Þדֹ Êב-,1,1
59,1,“ÊÞםםד Ýהֿ Þ ֳּםַֿ ßׁזד זַב־ֿדֹ ַבדÞֿדֹ”. ַבÞָׁ דה ַבֽׁד. Úֿד ַבֿׁ Úבל ַבוַÊÝ בב״בָ ־ֿדֹ ַבÛׁÝ ײםÞ  ד׃ַֹֽ ַבÛׁÝֹ  זָּÊ ַבַÝ״ַׁ Úֿד ÊזÝׁ ַבדזַÞÝ,0,0
60,2,“ּםֿ ַּֿ”. ַבÞָׁ דה ַבֽׁד...הÙַÝֹ ַבדßַה....ַבַֹֽׁ Ýם ַבÝהֿÞ. Úֿד ÊזַÝׁ ־ֿדַÊ.ßÊÞֿםד זַָּÊ זÚֿד זּזֿ דßַה בÛ׃ב ַבדבַָ׃...זÚֿד זּזֿ ÚַָׁÊ בÊזױםב ַבדֽׁדםה ַבם ַבֽׁד Ýם ַם זÞÊ,1,1
61,1,“Êָֹּׁ ׃םֶֹ ָßב ַבדÞַםם׃”. בַ װםֱ ֳָֿנַ !. Þׁםָ דה ַבֽׁד בßה Ú׃ׁ ַב׀וַָ Úבל ßַָׁ ַב׃ה !׃םַֹׁ ַבÞזבÝ ַֽ״םהוַ ױזֹׁ דַ ÊהÞב ֳֽֿדַ Úהֿוד דזַÞÝ ׁÛד ַהוַ דßÊזָֹ Ýם ַבדזÞÚ ! ( םזוÞזהß )ÊÚַדב ַבַ׃ÊÞַָב ַבדױׁםםה ׂÝÊ ..,0,0
62,1,“ּםֿ דַ Úַֿ ַבּֿׁ”. ַבהÙַÝֹ. דזÞÚ ַבÝהֿÞ ÝזÞ ָּב זבַ םױבֽ בבם דÚו ßַָׁ ׃ה ַז ַזַׂה ֻÞםבו זבַ םזּֿ דזַÞÝ ׃םַַׁÊ בßה ַבַ׃זֳ ַב״בÚֹ ַז ַבּֿׁ ַבדÊÚָ ַבל ַבÝהֿÞ דה ַבֽׁד .. זַבÛׁÝ ױÛםֹׁ ַם בבהזד ÝÞ״ בם׃ ַָבַדßַה ַבּבז׃ Ýם ַבÛׁÝו ַבַ Úבל ַב׃ׁםׁ,1,1
63,2,“ַ׃זֱ ÝהֿÞ ..ַָהÊÙַׁ ַבÊ״זםׁ”. בד םÚָּהם װם זַײ״ׁׁÊ בַבÛֱַ ַבּֽׂ ָÚֿ  ַזב םזד. ַבהÊ בַםזּֿ Ýם ַבÛׁÝֹ .. ז־ֿדֹ ַבַ׃ÊÞַָב םזּֿ ָוַ Úַדב ַבהÙַÝֹ .. זדׁÊÝÚ ַּֿ זבַםזּֿ ז׃םבֹ ÊהÞב בבֽׁד,0,0
64,2,ײÚםÝ. בַװםֱ. בַװםֱ ּדםב בַװםֱ ּֿםֿ־ֿדַÊ ׃םֶֹ,0,0
65,2,“ÝהֿÞ ַּםַֿ ßׁזזד..׃םֱ ַּֿ ...זבַ ַהױֽ ָו הוֶַםַ”. ַבÝהֿÞ דßַהו ׃םֱ ַּֿ ַּֿזַב״ׁםÞ דהו זַבםו ױÚָֹ ַּֿ Úבל ַבַ׃ֹׁ זַבֳ״Ýַב .דßַהֹ ÝזÞ ָּב בַםזּֿ ־ֿדַÊ. ַבÛׁÝ ַבדÚׁזײ Úבל דזÞÚ booking.com Ûםׁ ד״ַָÞֹ בבזַÞÚ.זד׃ַֹֽ ַבÛׁÝ ױÛםֹׁ זדÞׁÝֹ. בד ה׃Ê״Ú ַבהזד.. דßַה ַבÝהֿÞ ׃םֱ ַּֿ.־ֿד דÚֿזדֹ.בַ םזּֿ דזַÞÝ בבÝהֿÞ הוֶַםַ.םָּ ַה Ê׀וָ ַבל ַבּדַׁÊ בבׁßה ׃םַׁÊß.בַםזּֿ ״ׁםÞ ׃ב׃ֹ ַז דÚÞזבֹ דה ַבֽׁד זַבל ַבÝהֿÞ,0,0
66,1,"“ֵÞַדֹ ׃םֶֹ ַּֿ”. . דַ Ýם ־ֿדֹ ÛׁÝ ¡ ֳָ׃״ דÞזדַÊ ַבÝהַֿÞ דָ דזּזֹֿ ¡דַÝם ד״Úד בבÝהֿÞ דÚ ַהו ßַה ד׀ßזׁ ַהו Ýםו ָזÝםו בבÝהֿÞ ¡ דַ Ýםו דֱַ הײ״ׁ ה״בÚ דה ַבÝהֿÞ Úבװַה הׁזֽ בבָÞַבֹ זהּםָו ¡ ד׃Êֽםב םֿׁ ַבַ׃ÊÞַָב Úבםß ¡ ָָ׃ַ״ֹ ßֳהß Ýם ַׁ־ױ ַבÝהַֿÞ דײדזה .",0,0
67,2,“ײÚםÝ”. בד םÚָּהם װם. בַ Êזּֿ ־ֿדו בבÛׁÝ ַַָֿ ... בַ םזּֿ זַל Ýַם ÝַבÛׁÝ .. דזÞÚו ַÚבל Êבו ...,0,0
68,2,ד־םָ בבֳדב. . ַבÛׁÝ ײםÞֹ  ַּֿ  ױÚזָֹ ַבזױזב ַבם ַבֽׁד בזּזֿ ַבÝהֿÞ Úבל ״בÚֹ הֽÊַּ בּוֿ ßָםׁ Ýם ַבהׂזב זַבױÚזֿ÷ ַבÝ״זׁ װֶ ׁזÊםהם,0,0
69,2,“דזÞÚ ּםֿ ז־ֿדֹ ׃םֶו ַּֿ”. ד׃ַֹֽ ַבÛׁÝֹ ֵבל ֽֿ דַ. בַ Êזּֿ ־ֿדֹ ד״בÞַ ַבֵÝ״ַׁ ׃םֱ ַּֿ בַםזּֿ ֵַֹֿׁ ּםֹֿ בבÝהֿÞ,0,0
70,2,“ÝהֿÞ ּדםב ָװßב Úַד זַב״Úַד ב׀ם׀”. ַבÝהֿÞ ּדםב זַוד דַ םדׂו ַבד״Úד ַבַßב ב׀ם׀ ב׀ם׀ ב׀ם׀ ַבַÝ״ַׁ זַבÚװֱַ װßַׁנ ּׂםבַנ בבװםÝ ַ׃ÊדÊÚהַ ַָב״Úַד ßֻםַׁנ. ַבÛׁÝו ײםÞו ַּֿנ זַבזױזב בבֽׁד דװם Úבל ַבֳÞַֿד ױÚָ בזּזֿ ּֿׁ ״זםב זדÊÚָ ַּֿנ Ûםׁ דהַ׃ָ בßַָׁ ַב׃ה זַבדׁײל הּׁז Êזײםֽ ו׀ו ַבדבַֽÙו בֳודםÊוַ בבהַ׃ Þָב ַבּֽׂ,1,1
71,1,ּםֿ. ַבדזÞÚ ּדםב זÞׁםָ בבֽׁד זבַßה דׁÊÝÚ םÊ״בָ ּוֿ בבזױזב זַב׀וַָ בבֽׁד. בַ םזּֿ דזַױבַÊ בבÝהֿÞ ־ַױֹ ßַָׁ ַב׃ה װַÞ ַּֿ ַּֿ,1,1
